#feed_name,feed_category,feed_url,feed_file_name,active_yn
Graphical Tropical Weather Outlooks,Outlook,https://www.nhc.noaa.gov/gtwo.xml,GTWO,Y
NHC Atlantic,Outlook,https://www.nhc.noaa.gov/index-at.xml,index-at,Y
NHC Atlantic Wallet 1,storm wallet,https://www.nhc.noaa.gov/nhc_at1.xml,nhc_at1,Y
NHC Atlantic Wallet 2,storm wallet,https://www.nhc.noaa.gov/nhc_at2.xml,nhc_at2,Y
NHC Atlantic Wallet 3,storm wallet,https://www.nhc.noaa.gov/nhc_at3.xml,nhc_at3,Y
NHC Atlantic Wallet 4,storm wallet,https://www.nhc.noaa.gov/nhc_at4.xml,nhc_at4,Y
NHC Atlantic Wallet 5,storm wallet,https://www.nhc.noaa.gov/nhc_at5.xml,nhc_at5,Y
NHC Tropical Weather Discussion (Atlantic),Discussion,https://www.nhc.noaa.gov/xml/TWDAT.xml,TWDAT,Y
Atlantic Tropical Cyclone Public Advisory Wallet 1,public advisory,https://www.nhc.noaa.gov/xml/TCPAT1.xml,TCPAT1,Y
Atlantic Tropical Cyclone Public Advisory Wallet 2,public advisory,https://www.nhc.noaa.gov/xml/TCPAT2.xml,TCPAT2,Y
Atlantic Tropical Cyclone Public Advisory Wallet 3,public advisory,https://www.nhc.noaa.gov/xml/TCPAT3.xml,TCPAT3,Y
Atlantic Tropical Cyclone Public Advisory Wallet 4,public advisory,https://www.nhc.noaa.gov/xml/TCPAT4.xml,TCPAT4,Y
Atlantic Tropical Cyclone Public Advisory Wallet 5,public advisory,https://www.nhc.noaa.gov/xml/TCPAT5.xml,TCPAT5,Y
Atlantic Tropical Cyclone Forecast Advisory Wallet 1,Forecast Advisory, https://www.nhc.noaa.gov/xml/TCMAT1.xml,TCMAT1,Y
Atlantic Tropical Cyclone Forecast Advisory Wallet 2,Forecast Advisory, https://www.nhc.noaa.gov/xml/TCMAT2.xml,TCMAT1,Y
Atlantic Tropical Cyclone Forecast Advisory Wallet 3,Forecast Advisory, https://www.nhc.noaa.gov/xml/TCMAT3.xml,TCMAT1,Y
Atlantic Tropical Cyclone Forecast Advisory Wallet 4,Forecast Advisory, https://www.nhc.noaa.gov/xml/TCMAT4.xml,TCMAT1,Y
Atlantic Tropical Cyclone Forecast Advisory Wallet 5,Forecast Advisory, https://www.nhc.noaa.gov/xml/TCMAT5.xml,TCMAT1,Y
Atlantic Discussion Wallet 1,Discussion,https://www.nhc.noaa.gov/xml/TCDAT1.xml,TCDAT1,Y
Atlantic Discussion Wallet 2,Discussion,https://www.nhc.noaa.gov/xml/TCDAT2.xml,TCDAT2,Y
Atlantic Discussion Wallet 3,Discussion,https://www.nhc.noaa.gov/xml/TCDAT3.xml,TCDAT3,Y
Atlantic Discussion Wallet 4,Discussion,https://www.nhc.noaa.gov/xml/TCDAT4.xml,TCDAT4,Y
Atlantic Discussion Wallet 5,Discussion,https://www.nhc.noaa.gov/xml/TCDAT5.xml,TCDAT5,Y
